lin_x,rand_x,lin_x_plus1,sinx,randomy,sinx_plus1
34,-0.42,35,-0.255541102026832,0.11,0.744458897973168
35,-0.77,36,-0.35078322768962,-0.72,0.64921677231038
36,-0.53,37,-0.442520443294852,-0.77,0.557479556705148
37,-0.07,38,-0.529836140908493,0.29,0.470163859091507
38,0.9,39,-0.611857890942719,0.89,0.388142109057281
39,0.03,40,-0.687766159183974,-0.17,0.312233840816026
40,-0.36,41,-0.756802495307928,-0.42,0.243197504692072
41,0.92,42,-0.818277111064411,0.78,0.181722888935589
42,-0.58,43,-0.871575772413588,0.13,0.128424227586412
43,-0.08,44,-0.916165936749455,-0.46,0.0838340632505451
44,0.3,45,-0.951602073889516,-0.44,0.048397926110484
45,-0.54,46,-0.977530117665097,0.61,0.022469882334903
46,-0.25,47,-0.993691003633465,0.61,0.00630899636653548
47,-0.12,48,-0.999923257564101,0.47,0.0000767424358991686
48,0.81,49,-0.996164608835841,-0.46,0.00383539116415943
49,-0.55,50,-0.982452612624332,-0.02,0.0175473873756675
50,-0.46,51,-0.958924274663139,-0.95,0.0410757253368615
51,-0.3,52,-0.925814682327732,-0.81,0.0741853176722679
52,0.04,53,-0.883454655720153,0.47,0.116545344279847
53,-0.96,54,-0.832267442223901,0.35,0.167732557776099
54,-0.45,55,-0.772764487555987,0.33,0.227235512444013
55,-1,56,-0.705540325570392,-0.04,0.294459674429608
56,-0.97,57,-0.631266637872321,0.54,0.368733362127679
57,-0.56,58,-0.550685542597638,0.34,0.449314457402362
58,0.3,59,-0.464602179413757,0.71,0.535397820586243
59,0.3,60,-0.373876664830236,0.04,0.626123335169764
60,0.25,61,-0.279415498198926,-0.88,0.720584501801074
61,0.86,62,-0.182162504272095,-0.71,0.817837495727905
62,-0.52,63,-0.0830894028174964,-0.22,0.916910597182504
63,-0.75,64,0.0168139004843506,0.76,1.01681390048435
64,-0.75,65,0.116549204850494,0.03,1.11654920485049
65,0.19,66,0.215119988087815,-0.3,1.21511998808782
66,-0.63,67,0.311541363513379,0.05,1.31154136351338
67,-0.1,68,0.404849920616598,-0.71,1.4048499206166
68,0.52,69,0.494113351138609,-0.49,1.49411335113861
69,0.91,70,0.5784397643882,-0.34,1.5784397643882
70,-0.42,71,0.656986598718789,0.72,1.65698659871879
71,-0.52,72,0.728969040125876,-0.03,1.72896904012588
72,-0.87,73,0.793667863849153,-0.1,1.79366786384915
73,-0.64,74,0.850436620628565,0.22,1.85043662062856
74,0.85,75,0.898708095811627,-0.1,1.89870809581163
75,-0.83,76,0.937999976774739,-0.64,1.93799997677474
76,-0.66,77,0.967919672031487,0.26,1.96791967203149
77,0.66,78,0.988168233877,0.09,1.988168233877
78,-0.41,79,0.998543345374605,-0.53,1.99854334537461
79,0.24,80,0.998941341839772,0.96,1.99894134183977
80,0.51,81,0.989358246623382,-0.27,1.98935824662338
81,0.15,82,0.969889810845086,-0.8,1.96988981084509
82,0.14,83,0.940730556679772,0.73,1.94073055667977
83,-0.22,84,0.902171833756293,0.13,1.90217183375629
84,-0.83,85,0.85459890808828,-0.77,1.85459890808828
85,-0.46,86,0.79848711262349,0.66,1.79848711262349
86,-0.3,87,0.734397097874113,-0.75,1.73439709787411
87,-0.67,88,0.662969230082182,-0.08,1.66296923008218
88,-0.84,89,0.584917192891762,0.34,1.58491719289176
89,0.6,90,0.501020856457885,-0.42,1.50102085645788
90,-0.46,91,0.412118485241757,-0.34,1.41211848524176
91,0.51,92,0.319098362349352,-0.41,1.31909836234935
92,-0.11,93,0.222889914100246,0.51,1.22288991410025
93,0.87,94,0.124454423507062,0.34,1.12445442350706
94,0.78,95,0.0247754254533578,-0.28,1.02477542545336
95,-0.75,96,-0.0751511204618093,0.88,0.924848879538191
96,-0.73,97,-0.174326781222981,0.73,0.825673218777019
97,0.31,98,-0.271760626410944,-0.15,0.728239373589056
98,-0.3,99,-0.366479129251928,0.33,0.633520870748072
99,-0.77,100,-0.457535893775321,-0.1,0.542464106224679
100,-0.03,101,-0.54402111088937,0.55,0.45597888911063
